# BTFR data from SPARC (175 galaxies)
# ODR fit (std): slope=3.604+/-0.089, intercept=2.513
# Khronon: slope=4.000, log10(pref)=1.8244
# Name,Vflat_kms,logV,Mbar_Msun,logM,logM_Khronon,residual_dex,Q,Inc,has_catalog_Vf
CamB,17.20,1.2355,5.3460e+07,7.7280,6.7665,0.9615,2,65,0
D512-2,35.53,1.5506,2.7023e+08,8.4317,8.0269,0.4048,2,56,0
D564-8,23.63,1.3735,5.5070e+07,7.7409,7.3185,0.4224,2,63,0
D631-7,57.70,1.7612,4.8370e+08,8.6846,8.8691,-0.1845,1,59,1
DDO064,46.10,1.6637,3.5913e+08,8.5553,8.4792,0.0760,1,60,1
DDO154,47.00,1.6721,3.9225e+08,8.5936,8.5128,0.0808,2,64,1
DDO161,66.30,1.8215,2.1067e+09,9.3236,9.1105,0.2132,1,70,1
DDO168,53.40,1.7275,6.4479e+08,8.8094,8.7346,0.0749,2,63,1
DDO170,60.00,1.7782,1.2490e+09,9.0966,8.9370,0.1596,2,66,1
ESO079-G014,175.00,2.2430,3.0043e+10,10.4777,10.7966,-0.3188,1,79,1
ESO116-G012,109.10,2.0378,3.5864e+09,9.5547,9.9757,-0.4210,1,74,1
ESO444-G084,61.27,1.7872,2.1505e+08,8.3325,8.9733,-0.6408,2,32,0
ESO563-G021,314.60,2.4978,1.8790e+11,11.2739,11.8154,-0.5415,1,83,1
F561-1,50.00,1.6990,4.1958e+09,9.6228,8.6203,1.0025,3,24,1
F563-1,109.90,2.0410,5.2075e+09,9.7166,9.9884,-0.2718,1,25,1
F563-V1,28.47,1.4543,1.5813e+09,9.1990,7.6417,1.5573,3,60,0
F563-V2,116.60,2.0667,4.3778e+09,9.6413,10.0912,-0.4499,1,29,1
F565-V2,78.37,1.8941,1.2092e+09,9.0825,9.4009,-0.3184,2,60,0
F567-2,49.30,1.6928,4.3242e+09,9.6359,8.5958,1.0401,3,20,0
F568-1,135.00,2.1303,9.1083e+09,9.9594,10.3457,-0.3863,1,26,0
F568-3,114.67,2.0594,8.4224e+09,9.9254,10.0621,-0.1367,1,40,0
F568-V1,112.30,2.0504,5.2255e+09,9.7181,10.0259,-0.3078,1,40,1
F571-8,139.70,2.1452,7.4521e+09,9.8723,10.4052,-0.5329,1,85,1
F571-V1,83.60,1.9222,2.5431e+09,9.4054,9.5132,-0.1079,2,30,1
F574-1,97.80,1.9903,7.9554e+09,9.9007,9.7858,0.1149,1,65,1
F574-2,35.33,1.5482,3.7008e+09,9.5683,8.0171,1.5512,3,30,0
F579-V1,112.10,2.0496,8.9098e+09,9.9499,10.0228,-0.0730,1,26,1
F583-1,85.80,1.9335,3.3206e+09,9.5212,9.5583,-0.0371,1,63,1
F583-4,67.17,1.8272,1.7100e+09,9.2330,9.1330,0.1000,1,55,0
IC2574,66.40,1.8222,1.8859e+09,9.2755,9.1131,0.1624,2,75,1
IC4202,242.60,2.3849,1.0627e+11,11.0264,11.3640,-0.3376,1,90,1
KK98-251,33.70,1.5276,1.9545e+08,8.2910,7.9349,0.3561,2,59,1
NGC0024,106.30,2.0265,2.8436e+09,9.4539,9.9305,-0.4767,1,64,1
NGC0055,85.60,1.9325,4.3954e+09,9.6430,9.5543,0.0887,2,77,1
NGC0100,88.10,1.9450,4.2627e+09,9.6297,9.6043,0.0254,1,89,1
NGC0247,104.90,2.0208,5.9882e+09,9.7773,9.9075,-0.1302,2,74,1
NGC0289,163.00,2.2122,7.2566e+10,10.8607,10.6732,0.1876,2,46,1
NGC0300,93.30,1.9699,2.7059e+09,9.4323,9.7039,-0.2716,2,42,1
NGC0801,220.10,2.3426,1.8714e+11,11.2722,11.1949,0.0773,1,80,1
NGC0891,216.10,2.3347,7.5104e+10,10.8757,11.1630,-0.2874,1,90,1
NGC1003,109.80,2.0406,1.1230e+10,10.0504,9.9868,0.0636,1,67,1
NGC1090,164.40,2.2159,4.7704e+10,10.6786,10.6880,-0.0095,1,64,1
NGC1705,71.90,1.8567,4.5137e+08,8.6545,9.2513,-0.5968,3,80,1
NGC2366,50.20,1.7007,9.7851e+08,8.9906,8.6272,0.3634,3,68,1
NGC2403,131.20,2.1179,9.2752e+09,9.9673,10.2961,-0.3288,1,63,1
NGC2683,154.00,2.1875,4.2077e+10,10.6240,10.5745,0.0496,2,80,1
NGC2841,284.80,2.4545,1.0706e+11,11.0296,11.6426,-0.6129,1,76,1
NGC2903,184.60,2.2662,4.4326e+10,10.6467,10.8893,-0.2427,1,66,1
NGC2915,83.50,1.9217,9.9614e+08,8.9983,9.5111,-0.5128,2,56,1
NGC2955,243.00,2.3856,1.9821e+11,11.2971,11.3668,-0.0697,1,56,0
NGC2976,85.40,1.9315,1.9143e+09,9.2820,9.5502,-0.2682,2,61,1
NGC2998,209.90,2.3220,1.0664e+11,11.0279,11.1125,-0.0845,1,58,1
NGC3109,66.20,1.8209,7.3141e+08,8.8642,9.1078,-0.2437,1,70,1
NGC3198,150.10,2.1764,3.3595e+10,10.5263,10.5299,-0.0036,1,73,1
NGC3521,213.70,2.3298,4.7943e+10,10.6807,11.1436,-0.4629,1,75,1
NGC3726,168.00,2.2253,4.3726e+10,10.6407,10.7256,-0.0849,2,53,1
NGC3741,50.10,1.6998,2.5606e+08,8.4083,8.6238,-0.2154,1,70,1
NGC3769,118.60,2.0741,1.6693e+10,10.2225,10.1207,0.1018,2,70,1
NGC3877,168.40,2.2263,3.8240e+10,10.5825,10.7298,-0.1473,2,76,1
NGC3893,174.00,2.2405,3.6975e+10,10.5679,10.7866,-0.2187,1,49,1
NGC3917,135.90,2.1332,1.3494e+10,10.1301,10.3573,-0.2271,1,79,1
NGC3949,163.00,2.2122,2.3517e+10,10.3714,10.6732,-0.3018,2,55,1
NGC3953,220.80,2.3440,7.4417e+10,10.8717,11.2004,-0.3287,1,62,1
NGC3972,132.70,2.1229,8.7911e+09,9.9440,10.3159,-0.3718,1,77,1
NGC3992,241.00,2.3820,1.3554e+11,11.1321,11.3525,-0.2204,1,56,1
NGC4010,125.80,2.0997,1.2363e+10,10.0921,10.2231,-0.1310,2,89,1
NGC4013,172.90,2.2378,4.3493e+10,10.6384,10.7756,-0.1372,2,89,1
NGC4051,157.00,2.1959,5.1221e+10,10.7094,10.6080,0.1014,2,49,1
NGC4068,36.10,1.5575,3.2282e+08,8.5090,8.0544,0.4545,2,44,0
NGC4085,131.50,2.1189,1.2656e+10,10.1023,10.3001,-0.1978,2,82,1
NGC4088,171.70,2.2348,6.4584e+10,10.8101,10.7635,0.0466,1,69,1
NGC4100,158.20,2.1992,3.3823e+10,10.5292,10.6212,-0.0920,1,73,1
NGC4138,147.30,2.1682,2.4028e+10,10.3807,10.4972,-0.1165,2,53,1
NGC4157,184.70,2.2665,6.3751e+10,10.8045,10.8903,-0.0858,1,82,1
NGC4183,110.60,2.0438,1.0082e+10,10.0035,9.9994,0.0041,1,82,1
NGC4214,80.10,1.9036,1.2169e+09,9.0852,9.4389,-0.3537,2,15,1
NGC4217,181.30,2.2584,4.6057e+10,10.6633,10.8580,-0.1947,1,86,1
NGC4389,96.47,1.9844,1.1381e+10,10.0562,9.7619,0.2943,3,50,0
NGC4559,121.20,2.0835,1.7417e+10,10.2410,10.1584,0.0826,1,67,1
NGC5005,262.20,2.4186,9.1062e+10,10.9593,11.4989,-0.5396,1,68,1
NGC5033,194.20,2.2882,7.0302e+10,10.8470,10.9774,-0.1304,1,66,1
NGC5055,179.00,2.2529,9.2051e+10,10.9640,10.8358,0.1282,1,55,1
NGC5371,209.50,2.3212,1.8507e+11,11.2673,11.1091,0.1582,1,53,1
NGC5585,90.30,1.9557,3.7099e+09,9.5694,9.6472,-0.0778,1,51,1
NGC5907,215.00,2.3324,1.1568e+11,11.0632,11.1542,-0.0909,1,88,1
NGC5985,293.60,2.4678,1.1977e+11,11.0784,11.6954,-0.6171,1,60,1
NGC6015,154.10,2.1878,2.3824e+10,10.3770,10.5756,-0.1986,2,60,1
NGC6195,251.70,2.4009,2.2334e+11,11.3490,11.4279,-0.0790,1,62,1
NGC6503,116.30,2.0656,8.7420e+09,9.9416,10.0867,-0.1451,1,74,1
NGC6674,241.30,2.3826,1.5011e+11,11.1764,11.3546,-0.1782,1,54,1
NGC6789,45.67,1.6596,7.2610e+07,7.8610,8.4628,-0.6018,2,43,0
NGC6946,158.90,2.2011,4.0628e+10,10.6088,10.6289,-0.0201,1,38,1
NGC7331,239.00,2.3784,1.4003e+11,11.1462,11.3380,-0.1918,1,75,1
NGC7793,95.43,1.9797,4.6701e+09,9.6693,9.7432,-0.0739,1,47,0
NGC7814,218.90,2.3402,3.8688e+10,10.5876,11.1854,-0.5978,1,90,1
PGC51017,18.60,1.2695,3.4483e+08,8.5376,6.9025,1.6352,3,66,1
UGC00128,129.30,2.1116,1.5893e+10,10.2012,10.2708,-0.0696,1,57,1
UGC00191,80.50,1.9058,2.7882e+09,9.4453,9.4476,-0.0023,1,45,0
UGC00634,104.40,2.0187,6.3663e+09,9.8039,9.8992,-0.0953,2,37,0
UGC00731,73.30,1.8651,2.5648e+09,9.4091,9.2848,0.1242,1,57,1
UGC00891,59.35,1.7734,7.5624e+08,8.8787,8.9181,-0.0394,2,60,0
UGC01230,103.70,2.0158,1.2362e+10,10.0921,9.8875,0.2046,1,22,1
UGC01281,55.20,1.7419,5.6752e+08,8.7540,8.7922,-0.0382,1,90,1
UGC02023,48.10,1.6821,1.2884e+09,9.1101,8.5530,0.5571,2,19,0
UGC02259,86.20,1.9355,1.5195e+09,9.1817,9.5664,-0.3847,2,41,1
UGC02455,52.63,1.7213,2.8925e+09,9.4613,8.7094,0.7518,3,51,0
UGC02487,332.00,2.5211,2.6887e+11,11.4295,11.9090,-0.4794,1,36,1
UGC02885,289.50,2.4616,2.5506e+11,11.4066,11.6710,-0.2643,1,64,1
UGC02916,182.70,2.2617,9.3030e+10,10.9686,10.8714,0.0973,2,50,1
UGC02953,264.90,2.4231,1.3997e+11,11.1460,11.5167,-0.3707,2,50,1
UGC03205,219.60,2.3416,6.9691e+10,10.8432,11.1909,-0.3478,1,67,1
UGC03546,196.90,2.2942,5.4226e+10,10.7342,11.0014,-0.2672,1,55,1
UGC03580,126.20,2.1011,1.2445e+10,10.0950,10.2286,-0.1336,2,63,1
UGC04278,91.40,1.9609,2.1378e+09,9.3300,9.6682,-0.3382,1,90,1
UGC04305,34.50,1.5378,1.2857e+09,9.1091,7.9757,1.1335,3,40,1
UGC04325,90.90,1.9586,1.9147e+09,9.2821,9.6587,-0.3765,1,41,1
UGC04483,23.80,1.3766,4.9060e+07,7.6907,7.3307,0.3600,2,58,0
UGC04499,72.80,1.8621,2.2390e+09,9.3501,9.2729,0.0771,1,50,1
UGC05005,98.90,1.9952,6.1637e+09,9.7898,9.8052,-0.0153,1,41,1
UGC05253,213.70,2.3298,1.0760e+11,11.0318,11.1436,-0.1118,2,37,1
UGC05414,56.67,1.7533,1.3249e+09,9.1222,8.8377,0.2845,1,55,0
UGC05716,73.10,1.8639,1.7490e+09,9.2428,9.2801,-0.0373,2,54,1
UGC05721,79.70,1.9015,1.0130e+09,9.0056,9.4302,-0.4246,1,61,1
UGC05750,76.63,1.8844,3.1297e+09,9.4955,9.3621,0.1334,1,64,0
UGC05764,51.48,1.7117,2.5929e+08,8.4138,8.6711,-0.2573,2,60,0
UGC05829,64.97,1.8127,1.6426e+09,9.2155,9.0752,0.1404,2,34,0
UGC05918,42.77,1.6311,5.1151e+08,8.7089,8.3488,0.3600,2,46,0
UGC05986,113.00,2.0531,5.8946e+09,9.7705,10.0367,-0.2663,2,90,1
UGC05999,96.30,1.9836,4.3813e+09,9.6416,9.7589,-0.1173,2,22,0
